Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
1111766,9f00e8a9,GitHub,8dfb854f,data/8dfb854f/src/9f00e8a9.txt,13,13,T,F,62,78,F,F,,,,,,34,F,F,F,Password
1110418,0d5de8c0,GitHub,8dfb854f,data/8dfb854f/src/0d5de8c0.pl,49,49,T,F,64,69,F,F,,,,,,64,F,F,F,Password
1110428,1304046a,GitHub,8dfb854f,data/8dfb854f/src/1304046a.txt,104,104,T,F,26,34,F,F,,,,,,28,F,F,F,Password
1110451,127b4e13,GitHub,8dfb854f,data/8dfb854f/src/127b4e13.txt,5,5,T,F,34,49,F,F,,,,,,54,F,F,F,Password
1110513,1e0c3073,GitHub,8dfb854f,data/8dfb854f/src/1e0c3073.txt,10,10,T,F,76,80,F,F,,,,,,21,F,F,F,Password
1110528,1ace686b,GitHub,8dfb854f,data/8dfb854f/src/1ace686b.txt,27,27,T,F,16,32,F,F,,,,,,41,F,F,F,Password
1110591,1d68c54d,GitHub,8dfb854f,data/8dfb854f/src/1d68c54d.txt,169,169,T,F,7,71,F,F,,,,,,64,F,F,F,Key
1110641,2accd324,GitHub,8dfb854f,data/8dfb854f/src/2accd324.txt,72,72,T,F,0,40,F,F,,,,,,40,F,F,F,Token
1110642,2bf0c175,GitHub,8dfb854f,data/8dfb854f/src/2bf0c175.txt,70,70,T,F,23,63,F,F,,,,,,40,F,F,F,Token
1110648,2d7c2e28,GitHub,8dfb854f,data/8dfb854f/src/2d7c2e28.txt,133,133,T,F,33,43,F,F,,,,,,10,F,F,F,Password
1110698,31b706d5,GitHub,8dfb854f,data/8dfb854f/src/31b706d5.txt,80,80,T,F,29,40,F,F,,,,,,38,F,F,F,Password
1110699,31b706d5,GitHub,8dfb854f,data/8dfb854f/src/31b706d5.txt,62,62,T,F,23,28,F,F,,,,,,26,F,F,F,Password
1110751,3139e8bc,GitHub,8dfb854f,data/8dfb854f/src/3139e8bc.py,310,310,T,F,41,81,F,F,,,,,,40,F,F,F,Token
1110752,3139e8bc,GitHub,8dfb854f,data/8dfb854f/src/3139e8bc.py,310,310,T,F,154,194,F,F,,,,,,40,F,F,F,Token
1110754,3139e8bc,GitHub,8dfb854f,data/8dfb854f/src/3139e8bc.py,326,326,T,F,229,272,F,F,,,,,,40,F,F,F,Token
1110755,3139e8bc,GitHub,8dfb854f,data/8dfb854f/src/3139e8bc.py,326,326,T,F,41,81,F,F,,,,,,40,F,F,F,Token
1112156,c18df4f2,GitHub,8dfb854f,data/8dfb854f/src/c18df4f2.txt,35,35,T,F,60,64,F,F,,,,,,28,F,F,F,Password
1110782,1752b723,GitHub,8dfb854f,data/8dfb854f/src/1752b723.txt,23,23,T,F,12,16,F,F,,,,,,28,F,F,F,Password
1110838,40c48df7,GitHub,8dfb854f,data/8dfb854f/src/40c48df7.txt,67,67,T,F,64,72,F,F,,,,,,34,F,F,F,Password
1110886,46489cb5,GitHub,8dfb854f,data/8dfb854f/src/46489cb5.txt,20,20,T,F,42,82,F,F,,,,,,40,F,F,F,Token
1110890,3f377080,GitHub,8dfb854f,data/8dfb854f/src/3f377080.txt,373,373,T,F,10,13,F,F,,,,,,29,F,F,F,Password
1110945,4d0a18e4,GitHub,8dfb854f,data/8dfb854f/src/4d0a18e4.txt,77,77,T,F,81,85,F,F,,,,,,32,F,F,F,Password
1110989,452ab933,GitHub,8dfb854f,data/8dfb854f/src/452ab933.pl,47,47,T,F,84,88,F,F,,,,,,31,F,F,F,Password
1111081,5ad76f9d,GitHub,8dfb854f,data/8dfb854f/src/5ad76f9d.txt,73,73,T,F,42,74,F,F,,,,,,32,F,F,F,Password
1111089,5bcc928d,GitHub,8dfb854f,data/8dfb854f/src/5bcc928d.txt,57,57,T,F,9,13,F,F,,,,,,4,F,F,F,Password
1111175,63deeebd,GitHub,8dfb854f,data/8dfb854f/src/63deeebd.txt,22,22,T,F,79,119,F,F,,,,,,40,F,F,F,Token
1111249,6ea165d4,GitHub,8dfb854f,data/8dfb854f/src/6ea165d4.txt,11,11,T,F,65,73,F,F,,,,,,35,F,F,F,Password
1111310,72898261,GitHub,8dfb854f,data/8dfb854f/src/72898261.txt,28,28,T,F,14,54,F,F,,,,,,40,F,F,F,Token
1111323,70077ae1,GitHub,8dfb854f,data/8dfb854f/src/70077ae1.txt,8,8,T,F,21,34,F,F,,,,,,51,F,F,F,Password
1111355,69532f2a,GitHub,8dfb854f,data/8dfb854f/src/69532f2a.rb,34,34,T,F,21,26,F,F,,,,,,41,F,F,F,Password
1111356,7751fb04,GitHub,8dfb854f,data/8dfb854f/src/7751fb04.txt,27,27,T,F,34,74,F,F,,,,,,40,F,F,F,Token
1111419,6fdaacaa,GitHub,8dfb854f,data/8dfb854f/src/6fdaacaa.txt,31,31,T,F,48,56,F,F,,,,,,31,F,F,F,Password
1111441,80b691c7,GitHub,8dfb854f,data/8dfb854f/src/80b691c7.html,22,22,T,F,32,37,F,F,,,,,,40,F,F,F,Password
1111503,7863398e,GitHub,8dfb854f,data/8dfb854f/src/7863398e.txt,48,48,T,F,40,48,F,F,,,,,,30,F,F,F,Password
1111527,88d2b7f1,GitHub,8dfb854f,data/8dfb854f/src/88d2b7f1.txt,112,112,T,F,89,129,F,F,,,,,,40,F,F,F,Token
1111583,8fa81048,GitHub,8dfb854f,data/8dfb854f/src/8fa81048.txt,23,23,T,F,13,53,F,F,,,,,,40,F,F,F,Token
1111605,92835bad,GitHub,8dfb854f,data/8dfb854f/src/92835bad.txt,43,43,T,F,87,127,F,F,,,,,,40,F,F,F,Token
1111626,8c31f234,GitHub,8dfb854f,data/8dfb854f/src/8c31f234.py,100,100,T,F,26,69,F,F,,,,,,40,F,F,F,Token
1111627,8c31f234,GitHub,8dfb854f,data/8dfb854f/src/8c31f234.py,286,286,T,F,39,79,F,F,,,,,,40,F,F,F,Token
1111628,8c31f234,GitHub,8dfb854f,data/8dfb854f/src/8c31f234.py,191,191,T,F,40,83,F,F,,,,,,40,F,F,F,Token
1111629,8c31f234,GitHub,8dfb854f,data/8dfb854f/src/8c31f234.py,351,351,T,F,39,79,F,F,,,,,,40,F,F,F,Token
1111630,8c31f234,GitHub,8dfb854f,data/8dfb854f/src/8c31f234.py,351,351,T,F,535,580,F,F,,,,,,40,F,F,F,Token
1111631,8c31f234,GitHub,8dfb854f,data/8dfb854f/src/8c31f234.py,286,286,T,F,188,233,F,F,,,,,,40,F,F,F,Token
1111632,8c31f234,GitHub,8dfb854f,data/8dfb854f/src/8c31f234.py,371,371,T,F,338,383,F,F,,,,,,40,F,F,F,Token
1111633,8c31f234,GitHub,8dfb854f,data/8dfb854f/src/8c31f234.py,371,371,T,F,39,79,F,F,,,,,,40,F,F,F,Github
1111897,ac0fd133,GitHub,8dfb854f,data/8dfb854f/src/ac0fd133.txt,11,11,T,F,160,164,F,F,,,,,,4,F,F,F,Password
1112013,b883c443,GitHub,8dfb854f,data/8dfb854f/src/b883c443.txt,13,13,T,F,146,212,F,F,,,,,,66,F,F,F,Password
1112051,b77d67af,GitHub,8dfb854f,data/8dfb854f/src/b77d67af.txt,34,34,T,F,14,54,F,F,,,,,,40,F,F,F,Token
