Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category,Rule
93523,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,17,17,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93524,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,18,18,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93525,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,19,19,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93526,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,20,20,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93527,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,21,21,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93528,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,25,25,T,F,0,12,F,F,,,,,2.36,12,F,F,F,Info,IPv4
93529,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,26,26,T,F,0,12,F,F,,,,,2.19,12,F,F,F,Info,IPv4
93530,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,27,27,T,F,0,12,F,F,,,,,2.29,12,F,F,F,Info,IPv4
93531,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,28,28,T,F,0,13,F,F,,,,,2.33,13,F,F,F,Info,IPv4
93532,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,29,29,T,F,0,14,F,F,,,,,2.42,14,F,F,F,Info,IPv4
93533,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,30,30,T,F,0,13,F,F,,,,,2.54,13,F,F,F,Info,IPv4
93534,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,31,31,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93535,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,32,32,T,F,0,11,F,F,,,,,2.15,11,F,F,F,Info,IPv4
93536,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,33,33,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93537,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,34,34,T,F,0,10,F,F,,,,,2.13,10,F,F,F,Info,IPv4
93538,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,35,35,T,F,0,14,F,F,,,,,2.37,14,F,F,F,Info,IPv4
93539,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,36,36,T,F,0,13,F,F,,,,,1.96,13,F,F,F,Info,IPv4
93540,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,37,37,T,F,0,13,F,F,,,,,2.33,13,F,F,F,Info,IPv4
93541,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,38,38,T,F,0,13,F,F,,,,,2.33,13,F,F,F,Info,IPv4
93542,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,39,39,T,F,0,10,F,F,,,,,1.53,10,F,F,F,Info,IPv4
93543,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,40,40,T,F,0,12,F,F,,,,,2.19,12,F,F,F,Info,IPv4
93544,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,41,41,T,F,0,14,F,F,,,,,2.51,14,F,F,F,Info,IPv4
93545,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,42,42,T,F,0,14,F,F,,,,,2.03,14,F,F,F,Info,IPv4
93546,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,43,43,T,F,0,13,F,F,,,,,2.48,13,F,F,F,Info,IPv4
93547,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,44,44,T,F,0,14,F,F,,,,,2.03,14,F,F,F,Info,IPv4
93548,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,45,45,T,F,13,42,F,F,,,,,3.58,29,F,F,F,Other,AWS S3 Bucket
93549,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,46,46,T,F,13,40,F,F,,,,,3.37,27,F,F,F,Other,AWS S3 Bucket
93550,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,50,50,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93551,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,51,51,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93552,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,52,52,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93553,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,53,53,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93554,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,54,54,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93555,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,55,55,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93556,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,59,59,T,F,0,14,F,F,,,,,1.74,14,F,F,F,Info,IPv4
93557,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,60,60,T,F,0,14,F,F,,,,,1.74,14,F,F,F,Info,IPv4
93558,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,61,61,T,F,0,14,F,F,,,,,1.74,14,F,F,F,Info,IPv4
93559,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,62,62,T,F,0,14,F,F,,,,,1.74,14,F,F,F,Info,IPv4
93560,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,63,63,T,F,0,15,F,F,,,,,2.33,15,F,F,F,Info,IPv4
93561,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,67,67,T,F,0,13,F,F,,,,,2.17,13,F,F,F,Info,IPv4
93562,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,68,68,T,F,0,13,F,F,,,,,2.17,13,F,F,F,Info,IPv4
93563,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,72,72,T,F,0,13,F,F,,,,,2.17,13,F,F,F,Info,IPv4
93564,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,73,73,T,F,0,13,F,F,,,,,2.48,13,F,F,F,Info,IPv4
93565,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,74,74,T,F,0,11,F,F,,,,,1.97,11,F,F,F,Info,IPv4
93566,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,78,78,T,F,0,11,F,F,,,,,2.15,11,F,F,F,Info,IPv4
93567,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,82,82,T,F,0,15,F,F,,,,,1.77,15,F,F,F,Info,IPv4
93568,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,83,83,T,F,0,15,F,F,,,,,1.77,15,F,F,F,Info,IPv4
93569,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,84,84,T,F,0,15,F,F,,,,,1.77,15,F,F,F,Info,IPv4
93570,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,85,85,T,F,0,15,F,F,,,,,1.77,15,F,F,F,Info,IPv4
93571,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,86,86,T,F,0,15,F,F,,,,,1.77,15,F,F,F,Info,IPv4
93572,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,87,87,T,F,0,15,F,F,,,,,1.77,15,F,F,F,Info,IPv4
93573,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,88,88,T,F,0,15,F,F,,,,,1.77,15,F,F,F,Info,IPv4
93574,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,89,89,T,F,0,14,F,F,,,,,1.82,14,F,F,F,Info,IPv4
93575,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,90,90,T,F,0,14,F,F,,,,,1.82,14,F,F,F,Info,IPv4
93576,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,91,91,T,F,0,14,F,F,,,,,2.37,14,F,F,F,Info,IPv4
93577,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,92,92,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93578,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,93,93,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93579,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,94,94,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93580,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,95,95,T,F,0,13,F,F,,,,,2.23,13,F,F,F,Info,IPv4
93581,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,101,101,T,F,0,12,F,F,,,,,2.13,12,F,F,F,Info,IPv4
93582,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,102,102,T,F,0,12,F,F,,,,,2.13,12,F,F,F,Info,IPv4
93583,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,103,103,T,F,0,12,F,F,,,,,2.13,12,F,F,F,Info,IPv4
93584,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,104,104,T,F,0,12,F,F,,,,,2.13,12,F,F,F,Info,IPv4
93585,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,105,105,T,F,0,12,F,F,,,,,2.13,12,F,F,F,Info,IPv4
93586,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,106,106,T,F,0,12,F,F,,,,,2.13,12,F,F,F,Info,IPv4
93587,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,108,108,T,F,0,11,F,F,,,,,2.15,11,F,F,F,Info,IPv4
93588,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,109,109,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93589,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,110,110,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93590,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,111,111,T,F,0,14,F,F,,,,,2.08,14,F,F,F,Info,IPv4
93591,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,112,112,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93592,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,113,113,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93593,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,114,114,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93594,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,115,115,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93595,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,116,116,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93596,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,117,117,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93597,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,118,118,T,F,0,13,F,F,,,,,2.11,13,F,F,F,Info,IPv4
93598,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,119,119,T,F,0,15,F,F,,,,,2.36,15,F,F,F,Info,IPv4
93599,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,120,120,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93600,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,121,121,T,F,0,13,F,F,,,,,2.38,13,F,F,F,Info,IPv4
93601,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,122,122,T,F,0,15,F,F,,,,,2.22,15,F,F,F,Info,IPv4
93602,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,123,123,T,F,0,14,F,F,,,,,2.31,14,F,F,F,Info,IPv4
93603,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,124,124,T,F,0,14,F,F,,,,,2.08,14,F,F,F,Info,IPv4
93604,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,125,125,T,F,0,14,F,F,,,,,2.08,14,F,F,F,Info,IPv4
93605,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,126,126,T,F,0,13,F,F,,,,,1.96,13,F,F,F,Info,IPv4
93606,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,127,127,T,F,0,13,F,F,,,,,1.96,13,F,F,F,Info,IPv4
93607,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,128,128,T,F,0,14,F,F,,,,,2.22,14,F,F,F,Info,IPv4
93608,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,129,129,T,F,0,13,F,F,,,,,2.54,13,F,F,F,Info,IPv4
93609,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,130,130,T,F,0,11,F,F,,,,,2.15,11,F,F,F,Info,IPv4
93610,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,131,131,T,F,0,10,F,F,,,,,1.85,10,F,F,F,Info,IPv4
93611,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,132,132,T,F,0,11,F,F,,,,,2.33,11,F,F,F,Info,IPv4
93612,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,133,133,T,F,0,12,F,F,,,,,1.90,12,F,F,F,Info,IPv4
93613,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,134,134,T,F,0,12,F,F,,,,,1.90,12,F,F,F,Info,IPv4
93614,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,135,135,T,F,0,12,F,F,,,,,1.90,12,F,F,F,Info,IPv4
93615,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,136,136,T,F,0,12,F,F,,,,,1.90,12,F,F,F,Info,IPv4
93616,8d3d744e,GitHub,2992291f,data/2992291f/other/8d3d744e,137,137,T,F,0,12,F,F,,,,,1.90,12,F,F,F,Info,IPv4
