Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category,Rule
84734,1c1fa57f,GitHub,2035b073,data/2035b073/other/1c1fa57f.md,38,38,T,F,36,49,F,F,,,,,2.54,13,F,F,F,Info,IPv4
84735,841df767,GitHub,2035b073,data/2035b073/other/841df767.py,9,9,T,F,8,22,F,F,,,,,2.28,14,F,F,F,Info,IPv4
84736,ada06747,GitHub,2035b073,data/2035b073/other/ada06747.md,35,35,T,F,36,49,F,F,,,,,1.71,13,F,F,F,Info,IPv4
84737,e579096b,GitHub,2035b073,data/2035b073/other/e579096b.py,6,6,T,F,8,22,F,F,,,,,2.56,14,F,F,F,Info,IPv4
84738,db388c89,GitHub,2035b073,data/2035b073/src/db388c89.py,5,5,T,F,8,23,F,F,,,,,2.33,15,F,F,F,Info,IPv4
84739,037b51a3,GitHub,2035b073,data/2035b073/src/037b51a3.py,7,7,T,F,8,21,F,F,,,,,2.33,13,F,F,F,Info,IPv4
84740,08305b91,GitHub,2035b073,data/2035b073/src/08305b91.py,7,7,T,F,8,21,F,F,,,,,2.38,13,F,F,F,Info,IPv4
84741,090448ba,GitHub,2035b073,data/2035b073/src/090448ba.py,7,7,T,F,8,20,F,F,,,,,2.19,12,F,F,F,Info,IPv4
84742,09ecea57,GitHub,2035b073,data/2035b073/src/09ecea57.py,8,8,T,F,8,21,F,F,,,,,2.17,13,F,F,F,Info,IPv4
84743,b10b53d7,GitHub,2035b073,data/2035b073/src/b10b53d7.py,5,5,T,F,8,22,F,F,,,,,2.37,14,F,F,F,Info,IPv4
84744,0c41a22f,GitHub,2035b073,data/2035b073/src/0c41a22f.py,7,7,T,F,8,22,F,F,,,,,2.56,14,F,F,F,Info,IPv4
84745,1bd89480,GitHub,2035b073,data/2035b073/src/1bd89480.py,9,9,T,F,8,20,F,F,,,,,2.36,12,F,F,F,Info,IPv4
84746,1d23c204,GitHub,2035b073,data/2035b073/src/1d23c204.py,6,6,T,F,8,22,F,F,,,,,2.02,14,F,F,F,Info,IPv4
84747,207f7abf,GitHub,2035b073,data/2035b073/src/207f7abf.py,8,8,T,F,8,23,F,F,,,,,2.19,15,F,F,F,Info,IPv4
84748,227e269d,GitHub,2035b073,data/2035b073/src/227e269d.py,6,6,T,F,8,20,F,F,,,,,2.19,12,F,F,F,Info,IPv4
84749,24ba89a9,GitHub,2035b073,data/2035b073/src/24ba89a9.py,9,9,T,F,8,21,F,F,,,,,1.92,13,F,F,F,Info,IPv4
84750,27d551fc,GitHub,2035b073,data/2035b073/src/27d551fc.py,9,9,T,F,8,22,F,F,,,,,2.22,14,F,F,F,Info,IPv4
84751,292254ab,GitHub,2035b073,data/2035b073/src/292254ab.py,7,7,T,F,8,21,F,F,,,,,2.17,13,F,F,F,Info,IPv4
84752,65a5ae84,GitHub,2035b073,data/2035b073/src/65a5ae84.py,10,10,T,F,8,23,F,F,,,,,2.06,15,F,F,F,Info,IPv4
84753,2e15e175,GitHub,2035b073,data/2035b073/src/2e15e175.py,6,6,T,F,9,21,F,F,,,,,2.19,12,F,F,F,Info,IPv4
84754,2f5f759c,GitHub,2035b073,data/2035b073/src/2f5f759c.py,13,13,T,F,12,39,F,F,,,,,2.90,27,F,F,F,Password,Password
84755,2fb34ff8,GitHub,2035b073,data/2035b073/src/2fb34ff8.py,8,8,T,F,8,23,F,F,,,,,1.90,15,F,F,F,Info,IPv4
84756,3161005f,GitHub,2035b073,data/2035b073/src/3161005f.py,7,7,T,F,8,21,F,F,,,,,2.08,13,F,F,F,Info,IPv4
84757,31ac75c0,GitHub,2035b073,data/2035b073/src/31ac75c0.py,9,9,T,F,8,21,F,F,,,,,1.92,13,F,F,F,Info,IPv4
84758,32276c45,GitHub,2035b073,data/2035b073/src/32276c45.py,8,8,T,F,8,22,F,F,,,,,2.31,14,F,F,F,Info,IPv4
84759,365a63a5,GitHub,2035b073,data/2035b073/src/365a63a5.py,8,8,T,F,8,20,F,F,,,,,2.36,12,F,F,F,Info,IPv4
84760,37e797e8,GitHub,2035b073,data/2035b073/src/37e797e8.py,8,8,T,F,9,23,F,F,,,,,1.82,14,F,F,F,Info,IPv4
84761,3cdbb431,GitHub,2035b073,data/2035b073/src/3cdbb431.py,6,6,T,F,8,22,F,F,,,,,2.37,14,F,F,F,Info,IPv4
